Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Valeur;Unité;Chapitre du bilan social
2022;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Cadre;0.0;nombre;§1.7.2
2022;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Exécution;0.0;nombre;§1.7.2
2022;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Maîtrise;0.0;nombre;§1.7.2
2022;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Exécution;0.0;nombre;§1.7.2
2022;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Cadre;0.0;nombre;§1.7.2
2022;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Cadre;53.0;nombre;§1.7.2
2021;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Cadre;40.0;nombre;§1.7.2
2021;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Maîtrise;65.0;nombre;§1.7.2
2021;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Exécution;7.0;nombre;§1.7.2
2021;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Maîtrise;0.0;nombre;§1.7.2
2021;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Cadre;0.0;nombre;§1.7.2
2021;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Maîtrise;0.0;nombre;§1.7.2
2021;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Exécution;3.0;nombre;§1.7.2
2021;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Cadre;0.0;nombre;§1.7.2
2021;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Exécution;0.0;nombre;§1.7.2
2020;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Maîtrise;85.0;nombre;§1.7.2
2020;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Maîtrise;0.0;nombre;§1.7.2
2020;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Exécution;0.0;nombre;§1.7.2
2020;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Cadre;0.0;nombre;§1.7.2
2020;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Maîtrise;1.0;nombre;§1.7.2
2020;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Cadre;0.0;nombre;§1.7.2
2020;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Cadre;35.0;nombre;§1.7.2
2020;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Exécution;14.0;nombre;§1.7.2
2020;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Exécution;0.0;nombre;§1.7.2
2019;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Exécution;5.0;nombre;§1.7.2
2019;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Maîtrise;1.0;nombre;§1.7.2
2019;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Exécution;0.0;nombre;§1.7.2
2019;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Cadre;1.0;nombre;§1.7.2
2019;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Cadre;0.0;nombre;§1.7.2
2019;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Cadre;37.0;nombre;§1.7.2
2019;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Maîtrise;73.0;nombre;§1.7.2
2019;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Maîtrise;1.0;nombre;§1.7.2
2019;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Exécution;0.0;nombre;§1.7.2
2018;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Exécution;6.0;nombre;§1.7.2
2018;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Exécution;0.0;nombre;§1.7.2
2018;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Maîtrise;58.0;nombre;§1.7.2
2018;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Cadre;0.0;nombre;§1.7.2
2018;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Maîtrise;0.0;nombre;§1.7.2
2018;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Cadre;0.0;nombre;§1.7.2
2018;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Maîtrise;0.0;nombre;§1.7.2
2018;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Cadre;34.0;nombre;§1.7.2
2018;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Exécution;0.0;nombre;§1.7.2
2017;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Cadre;33.0;nombre;§1.7.2
2017;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Maîtrise;73.0;nombre;§1.7.2
2017;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Exécution;0.0;nombre;§1.7.2
2017;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Exécution;0.0;nombre;§1.7.2
2017;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Maîtrise;0.0;nombre;§1.7.2
2017;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Exécution;5.0;nombre;§1.7.2
2017;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Cadre;0.0;nombre;§1.7.2
2017;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Maîtrise;0.0;nombre;§1.7.2
2017;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Cadre;0.0;nombre;§1.7.2
