Année;Perimètre juridique;Perimètre spatial;Spatial perimeter;Indicateur;Indicator;Type de recours;Type of legal action;Valeur;Unité;Unit;Chapitre du bilan social
2022;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Discipline;Discipline;15.0;Nombre;Number;§6.3.1
2022;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Classement;Classification;11.0;Nombre;Number;§6.3.2
2021;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Classement;Classification;4.0;Nombre;Number;§6.3.2
2021;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Requête sanction disciplinaire;Disciplinary sanction request;7.0;Nombre;Number;§6.3.2
2021;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Classement - Avancement;Classification - Advancement;8.0;Nombre;Number;§6.3.1
2021;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Discipline;Discipline;15.0;Nombre;Number;§6.3.1
2021;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);27.0;Nombre;Number;§6.3.2
2021;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);16.0;Nombre;Number;§6.3.1
2020;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Classement - Avancement;Classification - Advancement;26.0;Nombre;Number;§6.3.1
2020;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Discipline;Discipline;11.0;Nombre;Number;§6.3.1
2020;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);12.0;Nombre;Number;§6.3.1
2020;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Requête sanction disciplinaire;Disciplinary sanction request;8.0;Nombre;Number;§6.3.2
2020;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);33.0;Nombre;Number;§6.3.2
2020;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Classement;Classification;7.0;Nombre;Number;§6.3.2
2019;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);46.0;Nombre;Number;§6.3.2
2019;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Classement - Avancement;Classification - Advancement;13.0;Nombre;Number;§6.3.1
2019;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Requête sanction disciplinaire;Disciplinary sanction request;8.0;Nombre;Number;§6.3.2
2019;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);22.0;Nombre;Number;§6.3.1
2019;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Discipline;Discipline;20.0;Nombre;Number;§6.3.1
2019;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Classement;Classification;42.0;Nombre;Number;§6.3.2
2018;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);56.0;Nombre;Number;§6.3.2
2018;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Classement - Avancement;Classification - Advancement;15.0;Nombre;Number;§6.3.1
2018;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);25.0;Nombre;Number;§6.3.1
2018;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Requête sanction disciplinaire;Disciplinary sanction request;13.0;Nombre;Number;§6.3.2
2018;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Discipline;Discipline;10.0;Nombre;Number;§6.3.1
2018;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Classement;Classification;8.0;Nombre;Number;§6.3.2
2017;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Classement - Avancement;Classification - Advancement;9.0;Nombre;Number;§6.3.1
2017;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);24.0;Nombre;Number;§6.3.1
2017;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Discipline;Discipline;15.0;Nombre;Number;§6.3.1
2017;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Requête sanction disciplinaire;Disciplinary sanction request;3.0;Nombre;Number;§6.3.2
2017;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Classement;Classification;3.0;Nombre;Number;§6.3.2
2017;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);33.0;Nombre;Number;§6.3.2
