Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Tranche horaire;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Execution;Homme;17.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Cadre;Femme;6.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Cadre;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Maitrise;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Maitrise;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Cadre;Homme;22.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Maitrise;Femme;394.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Maitrise;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Cadre;Homme;143.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Cadre;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Maitrise;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Cadre;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Execution;Homme;32.0;Nombre;
2023;EDF SA;France;Salariés déclarés définitivement inaptes à leur emploi par le médecin du travail;;;;;16.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Cadre;Homme;1354.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Cadre;Femme;193.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Execution;Homme;1468.0;Nombre;
2023;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Execution;Femme;171.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;;;Execution;Femme;259.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Cadre;Femme;28.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Maitrise;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Cadre;Femme;77.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Maitrise;Homme;86.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Maitrise;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Cadre;Femme;59.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Maitrise;Homme;102.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Execution;Homme;17.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Cadre;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Execution;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Maitrise;Homme;765.0;Nombre;
2023;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Cadre;Homme;891.0;Nombre;
2023;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Execution;Homme;24.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;;;Maitrise;Homme;220.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Cadre;Homme;22.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Cadre;Homme;3.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Maitrise;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Execution;Femme;1.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Execution;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Cadre;Femme;2.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Cadre;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Execution;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Maitrise;Homme;558.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Execution;Femme;27.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Maitrise;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Cadre;Homme;346.0;Nombre;
2023;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Cadre;Femme;3.0;Nombre;
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Execution;Homme;1360.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Cadre;Homme;876.0;Nombre;§4.1.3
2022;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Maitrise;Femme;1334.0;Nombre;§4.1.3
2022;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Execution;Femme;214.0;Nombre;§4.1.3
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Maitrise;Homme;31.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Cadre;Homme;3.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Cadre;Femme;4.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Cadre;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Cadre;Femme;2.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Execution;Femme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Cadre;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Maitrise;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Execution;Homme;13.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Execution;Femme;1.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Execution;Homme;140.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Maitrise;Homme;1.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Maitrise;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Execution;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés déclarés définitivement inaptes à leur emploi par le médecin du travail;;;;;59.0;Nombre;§4.7.1
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Maitrise;Homme;12990.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés à temps partiel en décembre;;;Maitrise;Homme;235.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Maitrise;Femme;97.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Maitrise;Femme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Execution;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Maitrise;Femme;1.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Execution;Femme;1.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Cadre;Homme;24.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Cadre;Femme;2.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Cadre;Femme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Maitrise;Femme;1.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Cadre;Homme;148.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Maitrise;Homme;599.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Maitrise;Femme;690.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Cadre;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Cadre;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Execution;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Execution;Femme;97.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Cadre;Femme;497.0;Nombre;§4.1.3
2022;EDF SA;France;Salariés à temps partiel en décembre;;;Cadre;Femme;184.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;;;Maitrise;Femme;825.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Execution;Homme;8.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Execution;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Maitrise;Homme;83.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Execution;Femme;158.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Cadre;Homme;1.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Execution;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Cadre;Femme;65.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Maitrise;Femme;408.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Maitrise;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Execution;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Cadre;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Cadre;Femme;2.0;Nombre;§4.2.2
2022;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Execution;Homme;33.0;Nombre;§4.2.2
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Maitrise;Femme;1970.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Maitrise;Homme;682.0;Nombre;§4.1.3
2022;EDF SA;France;Salariés à temps partiel en décembre;;;Cadre;Homme;85.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;;;Execution;Homme;42.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Maitrise;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Execution;Femme;1.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Maitrise;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Cadre;Homme;39.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Maitrise;Femme;317.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Cadre;Femme;6.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Maitrise;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Cadre;Femme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Maitrise;Femme;1.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Maitrise;Homme;121.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Execution;Femme;76.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Maitrise;Femme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Execution;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Cadre;Femme;101.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Maitrise;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Cadre;Homme;365.0;Nombre;§4.2.2
2022;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Maitrise;Homme;787.0;Nombre;§4.2.2
2022;EDF SA;France;Salariés reclassés dans l'entreprise à la suite d'une inaptitude;;;;;44.0;Nombre;§4.7.2
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Cadre;Homme;1225.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Cadre;Femme;184.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Execution;Homme;26.0;Nombre;§4.1.3
2022;EDF SA;France;Salariés à temps partiel en décembre;;;Execution;Femme;298.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Cadre;Homme;17.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Cadre;Femme;30.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Execution;Femme;60.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Maitrise;Femme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Cadre;Femme;75.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Execution;Homme;21.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Execution;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Execution;Femme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Cadre;Homme;1.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Execution;Femme;1.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Cadre;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Maitrise;Homme;0.0;Nombre;§4.1.4
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Execution;Femme;34.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Execution;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Cadre;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Maitrise;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Execution;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Maitrise;Femme;10.0;Nombre;§4.2.2
2022;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Execution;Femme;4.0;Nombre;§4.2.2
2021;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Cadre;Homme;1114.0;Nombre;§4.1.2
2021;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Maitrise;Homme;12855.0;Nombre;§4.1.2
2021;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Maitrise;Homme;744.0;Nombre;§4.1.3
2021;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Maitrise;Femme;1371.0;Nombre;§4.1.3
2021;EDF SA;France;Salariés à temps partiel en décembre;;;Execution;Femme;350.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Execution;Homme;9.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Cadre;Homme;5.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Cadre;Femme;7.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Cadre;Homme;29.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Cadre;Femme;71.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Execution;Homme;21.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Execution;Femme;184.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Cadre;Homme;2.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Execution;Femme;0.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Cadre;Femme;0.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Cadre;Femme;64.0;Nombre;§4.1.4
2021;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Execution;Homme;12.0;Nombre;§4.1.4
